Obs,Weight,Length1,Length2,Length3,Height%,Width%,Sex,Species
70,200,21.2,23.0,25.8,40.1,14.2,,Abramis bjrkna
71,273,23.0,25.0,28.0,39.6,14.8,0,Abramis bjrkna
72,300,24.0,26.0,29.0,39.2,14.6,0,Abramis bjrkna
73,6.7,9.3,9.8,10.8,16.1,9.7,1,Osmerus eperlanus
74,7.5,10.0,10.5,11.6,17.0,10.0,0,Osmerus eperlanus
75,7,10.1,10.6,11.6,14.9,9.9,1,Osmerus eperlanus
76,9.7,10.4,11.0,12.0,18.3,11.5,0,Osmerus eperlanus
77,9.8,10.7,11.2,12.4,16.8,10.3,1,Osmerus eperlanus
78,8.7,10.8,11.3,12.6,15.7,10.2,1,Osmerus eperlanus
79,10,11.3,11.8,13.1,16.9,9.8,1,Osmerus eperlanus
80,9.9,11.3,11.8,13.1,16.9,8.9,0,Osmerus eperlanus
81,9.8,11.4,12.0,13.2,16.7,8.7,0,Osmerus eperlanus
82,12.2,11.5,12.2,13.4,15.6,10.4,0,Osmerus eperlanus
83,13.4,11.7,12.4,13.5,18.0,9.4,0,Osmerus eperlanus
84,12.2,12.1,13.0,13.8,16.5,9.1,0,Osmerus eperlanus
85,19.7,13.2,14.3,15.2,18.9,13.6,0,Osmerus eperlanus
86,19.9,13.8,15.0,16.2,18.1,11.6,0,Osmerus eperlanus
87,200,30.0,32.3,34.8,16.0,9.7,,Esox lucius
88,300,31.7,34.0,37.8,15.1,11.0,0,Esox lucius
89,300,32.7,35.0,38.8,15.3,11.3,,Esox lucius
90,300,34.8,37.3,39.8,15.8,10.1,,Esox lucius
91,430,35.5,38.0,40.5,18.0,11.3,,Esox lucius
92,345,36.0,38.5,41.0,15.6,9.7,1,Esox lucius
93,456,40.0,42.5,45.5,16.0,9.5,,Esox lucius
94,510,40.0,42.5,45.5,15.0,9.8,,Esox lucius
95,540,40.1,43.0,45.8,17.0,11.2,,Esox lucius
96,500,42.0,45.0,48.0,14.5,10.2,,Esox lucius
97,567,43.2,46.0,48.7,16.0,10.0,0,Esox lucius
98,770,44.8,48.0,51.2,15.0,10.5,0,Esox lucius
99,950,48.3,51.7,55.1,16.2,11.2,,Esox lucius
100,1250,52.0,56.0,59.7,17.9,11.7,,Esox lucius
101,1600,56.0,60.0,64.0,15.0,9.6,,Esox lucius
102,1550,56.0,60.0,64.0,15.0,9.6,0,Esox lucius
103,1650,59.0,63.4,68.0,15.9,11.0,0,Esox lucius
104,5.9,7.5,8.4,8.8,24.0,16.0,,Perca fluviatilis
105,32,12.5,13.7,14.7,24.0,13.6,,Perca fluviatilis
106,40,13.8,15.0,16.0,23.9,15.2,,Perca fluviatilis
107,51.5,15.0,16.2,17.2,26.7,15.3,,Perca fluviatilis
108,70,15.7,17.4,18.5,24.8,15.9,,Perca fluviatilis
109,100,16.2,18.0,19.2,27.2,17.3,,Perca fluviatilis
110,78,16.8,18.7,19.4,26.8,16.1,,Perca fluviatilis
111,80,17.2,19.0,20.2,27.9,15.1,,Perca fluviatilis
112,85,17.8,19.6,20.8,24.7,14.6,,Perca fluviatilis
113,85,18.2,20.0,21.0,24.2,13.2,,Perca fluviatilis
114,110,19.0,21.0,22.5,25.3,15.8,,Perca fluviatilis
115,115,19.0,21.0,22.5,26.3,14.7,,Perca fluviatilis
116,125,19.0,21.0,22.5,25.3,16.3,1,Perca fluviatilis
117,130,19.3,21.3,22.8,28.0,15.5,0,Perca fluviatilis
118,120,20.0,22.0,23.5,26.0,14.5,0,Perca fluviatilis
119,120,20.0,22.0,23.5,24.0,15.0,,Perca fluviatilis
120,130,20.0,22.0,23.5,26.0,15.0,,Perca fluviatilis
121,135,20.0,22.0,23.5,25.0,15.0,,Perca fluviatilis
122,110,20.0,22.0,23.5,23.5,17.0,0,Perca fluviatilis
123,130,20.5,22.5,24.0,24.4,15.1,0,Perca fluviatilis
124,150,20.5,22.5,24.0,28.3,15.1,0,Perca fluviatilis
125,145,20.7,22.7,24.2,24.6,15.0,,Perca fluviatilis
126,150,21.0,23.0,24.5,21.3,14.8,,Perca fluviatilis
127,170,21.5,23.5,25.0,25.1,14.9,,Perca fluviatilis
128,225,22.0,24.0,25.5,28.6,14.6,,Perca fluviatilis
129,145,22.0,24.0,25.5,25.0,15.0,,Perca fluviatilis
130,188,22.6,24.6,26.2,25.7,15.9,,Perca fluviatilis
131,180,23.0,25.0,26.5,24.3,13.9,0,Perca fluviatilis
132,197,23.5,25.6,27.0,24.3,15.7,,Perca fluviatilis
133,218,25.0,26.5,28.0,25.6,14.8,,Perca fluviatilis
134,300,25.2,27.3,28.7,29.0,17.9,0,Perca fluviatilis
135,260,25.4,27.5,28.9,24.8,15.0,0,Perca fluviatilis
136,265,25.4,27.5,28.9,24.4,15.0,,Perca fluviatilis
137,250,25.4,27.5,28.9,25.2,15.8,0,Perca fluviatilis
138,250,25.9,28.0,29.4,26.6,14.3,,Perca fluviatilis
139,300,26.9,28.7,30.1,25.2,15.4,0,Perca fluviatilis
140,320,27.8,30.0,31.6,24.1,15.1,0,Perca fluviatilis
141,514,30.5,32.8,34.0,29.5,17.7,,Perca fluviatilis
142,556,32.0,34.5,36.5,28.1,17.5,,Perca fluviatilis
143,840,32.5,35.0,37.3,30.8,20.9,0,Perca fluviatilis
144,685,34.0,36.5,39.0,27.9,17.6,0,Perca fluviatilis
145,700,34.0,36.0,38.3,27.7,17.6,0,Perca fluviatilis
146,700,34.5,37.0,39.4,27.5,15.9,0,Perca fluviatilis
147,690,34.6,37.0,39.3,26.9,16.2,0,Perca fluviatilis
148,900,36.5,39.0,41.4,26.9,18.1,0,Perca fluviatilis
149,650,36.5,39.0,41.4,26.9,14.5,,Perca fluviatilis
150,820,36.6,39.0,41.3,30.1,17.8,,Perca fluviatilis
151,850,36.9,40.0,42.3,28.2,16.8,0,Perca fluviatilis
152,900,37.0,40.0,42.5,27.6,17.0,0,Perca fluviatilis
153,1015,37.0,40.0,42.4,29.2,17.6,0,Perca fluviatilis
154,820,37.1,40.0,42.5,26.2,15.6,0,Perca fluviatilis
155,1100,39.0,42.0,44.6,28.7,15.4,0,Perca fluviatilis
156,1000,39.8,43.0,45.2,26.4,16.1,0,Perca fluviatilis
157,1100,40.1,43.0,45.5,27.5,16.3,0,Perca fluviatilis
158,1000,40.2,43.5,46.0,27.4,17.7,1,Perca fluviatilis
159,1000,41.1,44.0,46.6,26.8,16.3,0,Perca fluviatilis
